錒	锕
滿	满
蟎	螨
蔄	𬜬
縵	缦
鏝	镘
鋩	铓
貓	猫
犛	牦
錨	锚
鉚	铆
貿	贸
麼	么 麽
沒	没
鋂	𰾄
鎇	镅
鶥	鹛
黴	霉
鎂	镁
門	门
捫	扪
璊	𫞩
鍆	钔
悶	闷
燜	焖
懣	懑
們	们
蒙	蒙
鄳	𫑡
懞	蒙
濛	蒙
矇	蒙
鸏	鹲
錳	锰
夢	梦
謎	谜
彌	弥
擟	𪭧
禰	祢
瀰	㳽 弥
獼	猕
瓕	𤦀
羋	芈
祕	秘
覓	觅
覛	𫌪
冪	幂
謐	谧
綿	绵
黽	黾
緬	缅
澠	渑
鮸	𩾃
面	面
麪	面 麺
鶓	鹋
緲	缈
廟	庙
滅	灭
蔑	蔑
衊	蔑
緍	𦈏
緡	缗
閔	闵
閩	闽
憫	悯
潣	𫞗
簢	𫂃
鰵	鳘
銘	铭
鳴	鸣
謬	谬
謨	谟
饃	馍
歿	殁
鏌	镆
驀	蓦
纆	𬙊
鉾	𫓴
謀	谋
繆	缪
墲	𪢸
畝	亩
鉧	𬭁
鉬	钼
縸	𫄲
鎿	镎
吶	呐
納	纳
軜	𫐇
鈉	钠
孻	𡥧
錼	镎
難	难
譨	𫍦
饢	馕
碙	𥐻
撓	挠
憹	𢙐
蟯	蛲
譊	𫍢
鐃	铙
堖	垴
惱	恼
腦	脑
鬧	闹
訥	讷
餒	馁
內	内
輗	𫐐
鯢	鲵
齯	𫠜
鈮	铌
擬	拟
聻	𫆏
暱	昵
膩	腻
鮎	鲇
鯰	鲶
輦	辇
攆	撵
躎	䟢
念	念
唸	念
娘	娘
孃	娘
釀	酿
鳥	鸟
嫋	袅
裊	袅
蔦	茑
樢	㭤
隉	陧
錜	𫓻
嚙	啮
聶	聂
鎳	镍
闑	𫔶
櫱	蘖
籋	𥬞
囁	嗫
齧	啮 𫜩
躡	蹑
鑷	镊
顳	颞
苧	苎
甯	宁
寧	宁
嚀	咛
嬣	𪥰
擰	拧
獰	狞
薴	苧
檸	柠
聹	聍
鸋	𫛢
濘	泞
紐	纽
鈕	钮
農	农
儂	侬
噥	哝
濃	浓
蕽	𫇽
燶	㶶
膿	脓
穠	秾
醲	𬪩
繷	𫄣
駑	驽
釹	钕
餪	𫗬
瘧	疟
儺	傩
諾	诺
塸	𫭟
漚	沤
歐	欧
毆	殴
熰	𬉼
甌	瓯
謳	讴
鷗	鸥
嘔	呕
慪	怄
盤	盘
蹣	蹒
詊	𫟟
彷	仿
龎	厐
龐	庞
拋	抛
皰	疱
礮	𪿫
賠	赔
浿	𬇙
轡	辔
噴	喷
鵬	鹏
紕	纰
鈹	铍
駓	𬳵
鮍	鲏
鵧	𫛨
羆	罴
辟	辟
闢	辟
鷿	𬸯
鸊	䴙
駢	骈
諞	谝
騙	骗
飄	飘
縹	缥
貧	贫
頻	频
嬪	嫔
矉	𪾸
蠙	𧏖
顰	颦
苹	苹
評	评
軿	𫐌
憑	凭
鮃	鲆
蘋	苹 𬞟
鉕	钷
頗	颇
潑	泼
鏺	䥽
駊	𫘟
釙	钋
錇	锫
仆	仆
撲	扑
鯆	𫚙
僕	仆
鏷	镤
朴	朴
樸	朴
譜	谱
鐠	镨
鋪	铺
悽	凄
戚	戚
淒	凄
棲	栖
榿	桤
慼	戚
鏚	𬭭
祇	只
軝	𬨂
頎	颀
齊	齐
錡	锜
臍	脐
騎	骑
騏	骐
蘄	蕲
鯕	鲯
蠐	蛴
鰭	鳍
豈	岂
啓	启
綺	绮
氣	气
訖	讫
棄	弃
磧	碛
千	千
牽	牵
釺	钎
鈆	𫓪
僉	佥
鉛	铅
慳	悭
遷	迁
謙	谦
顅	𫖶
簽	签
鵮	鹐
騫	骞
籤	签
韆	千
乾	干
鈐	钤
鉗	钳
潛	潜
蕁	荨
錢	钱
騝	𩨃
騚	𩨊
淺	浅
脥	𣍰
繾	缱
譴	谴
俔	伣
塹	堑
綪	𬘬
槧	椠
縴	纤
鰜	鳒
嗆	呛
嶈	𡺃
戧	戗
