闼	闥
阘	闒
台	檯 臺 颱
苔	薹
鲐	鮐
薹	薹
态	態
钛	鈦
贪	貪
摊	攤
滩	灘
瘫	癱
坛	墰 壇 壜 罈 罎
昙	曇
谈	談
锬	錟
谭	譚
钽	鉭
叹	嘆 歎
汤	湯
铴	鐋
镗	鏜
糖	醣
傥	儻
镋	鎲 钂
烫	燙
涛	濤
绦	絛 縧
焘	燾
韬	韜
梼	檮
绹	綯
𫘦	騊
讨	討
铽	鋱
腾	騰
誊	謄
䲢	鰧
锑	銻
䴘	鷉
绨	綈
缇	緹
𫘨	騠
鹈	鵜
题	題
鳀	鯷
体	體
屉	屜
靔	靝
阗	闐
觍	覥
条	條
龆	齠
鲦	鰷
粜	糶
贴	貼
铁	鐵
厅	廳
听	聽
烃	烴
𬘩	綎
铤	鋌
颋	頲
同	衕
𫍣	詷
铜	銅
鲖	鮦
统	統
恸	慟
头	頭
秃	禿
图	圖
涂	塗
𬳿	駼
钍	釷
团	團 糰
抟	摶
𬯎	隤
颓	頹 頽
蜕	蛻
饨	飩
鲀	魨
讬	託
托	託
饦	飥
捝	挩
脱	脫
驮	馱
驼	駝
鸵	鴕
𬶍	鮀
鼍	鼉
椭	橢
萚	蘀
箨	籜
洼	窪
娲	媧
袜	襪
腽	膃
弯	彎
塆	壪
湾	灣
纨	紈
玩	翫
顽	頑
挽	輓
绾	綰
万	萬
𬇕	澫
网	網
辋	輞
鳂	鰃
韦	韋
围	圍
帏	幃
沩	溈 潙
𣲗	湋
违	違
闱	闈
涠	潿
维	維
潍	濰
𬶏	鮠
伟	偉
伪	偽 僞
纬	緯
苇	葦
𬀩	暐
炜	煒
玮	瑋
𫇭	蒍 蔿
诿	諉
𬱟	頠
韪	韙
鲔	鮪
